SEASON_ID,PLAYER_ID,TEAM_ID ,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3
19,98,19,81,25,10.6,3.8,8.6,43.7,1.5,4,36.5,1.6,1.9,88,1.6,4.1,5.6,1.6,1.2,0.6,0.1,2.2,20.5,3,0
19,99,12,69,25.5,8.2,2.7,7,39,1.9,5.3,36.5,0.8,1,78.9,0.2,1.7,1.9,2.1,0.9,0.6,0.3,2.4,15.5,0,0
19,100,7,76,28.2,11.2,4.1,8.7,46.7,1,2.6,40.7,2.1,2.5,83.2,0.5,2.6,3.1,6,1.6,1.4,0.1,1.8,27,6,0
19,101,6,8,11.2,3.6,1.3,3.4,37,0.6,1.4,45.5,0.5,0.9,57.1,0.3,1.3,1.5,0.9,0.8,0.1,0,1,6.4,0,0
19,102,27,51,19.3,6.5,2.5,5.1,48.1,0.5,1.5,32,1.1,1.7,68.2,0.8,2.4,3.2,1.1,0.6,0.7,0.3,2.1,14.5,0,0
19,103,12,76,21.5,8,2.7,6,45,1.9,4.4,42.9,0.7,0.8,88.3,0.3,3.2,3.5,1.3,0.6,0.5,0.4,1.8,16.2,0,0
19,104,26,10,4.7,1.2,0.5,1.2,41.7,0.2,0.4,50,0,0,0,0.2,0.4,0.6,0.3,0.1,0.1,0,0.3,2.6,0,0
19,105,24,81,31.4,17.3,6.2,13.6,45.8,1.1,2.9,37.1,3.7,5.1,72.7,0.5,3.2,3.8,7.3,2.8,1.6,0.6,2.5,36.5,16,1
19,106,1,50,19.7,5,2,5.1,39.1,0.6,1.9,30.5,0.4,0.6,75,0.5,2.2,2.7,3.2,1.5,1.4,0.5,2.3,16.9,0,0
19,107,20,69,29.7,11,4.1,6.5,64.1,0,0,0,2.7,3.8,70.5,3.3,9.8,13.1,2.3,2.2,0.6,1.1,2.4,32.8,42,0
19,108,24,82,23.6,8.4,3.4,7.5,44.6,0.6,2.1,28.9,1.1,1.7,64,0.7,3.7,4.4,2.5,1.7,1.3,0.5,2.3,20.9,3,0
19,109,15,77,34.9,21.2,8.2,17.1,48.1,0.1,0.6,15.6,4.8,5.7,83,0.7,5.3,6,6.2,2.6,1.1,0.5,2.3,39.9,12,1
19,110,27,30,25.7,16.3,5.9,12.4,48,0.9,3.2,27.4,3.5,4.8,73.6,1.4,6.8,8.2,3.6,2.4,1.3,1.5,3.6,37.5,10,0
19,111,10,67,25.4,11.1,3.4,8.6,39.5,1.6,4.6,34.2,2.7,3.6,76,1,4.2,5.2,1.3,1.1,0.5,0.1,1.7,20,3,0
19,112,3,7,3.1,1,0.4,1.4,30,0,0.6,0,0.1,0.3,50,0.1,0.4,0.6,0.9,0.3,0.3,0,0.6,3.5,0,0
19,113,23,71,30.7,16.3,7.2,12.3,58.5,0,0.1,0,2,2.7,74.6,3.1,7.1,10.3,1.8,1.8,0.9,0.9,2.9,34.9,39,0
19,114,6,75,22.6,8.7,3.2,7.4,43.4,0.7,2.2,29.8,1.6,2,79.3,0.9,2.6,3.5,3.3,1,1.2,0.4,1.4,21.6,4,3
19,115,21,6,6.6,3.7,1.3,2.5,53.3,0.3,1,33.3,0.7,0.7,100,0.3,0.2,0.5,0.8,0.2,0.3,0,0.7,6.4,0,0
19,116,20,19,10.2,1.7,0.6,1.9,30.6,0.3,1.2,26.1,0.2,0.2,100,0.2,0.8,1,0.3,0.3,0.1,0.2,0.7,3.8,0,0
19,117,21,79,29.3,15.5,5.8,14,41.4,1.6,4.6,34.1,2.4,2.9,81.9,0.5,3.1,3.6,4.1,2.2,0.8,0.2,2.4,26.7,3,0
19,118,29,53,28.5,13.6,5.2,12.3,42.8,1.3,3.9,32.2,1.9,2.9,63.5,0.6,2.3,2.9,4.8,2.9,1.3,0.4,2.4,26.3,2,1
19,119,16,32,7.5,2.6,1,2.6,40.2,0.3,0.8,29.6,0.3,0.4,66.7,0.1,0.8,0.9,0.3,0.3,0.2,0.3,1,5.1,0,0
19,120,18,76,23.2,11.8,4.8,8.1,58.6,0.2,1,21.8,2,3,67.5,2.7,4.6,7.4,1.2,1.1,0.7,1.4,2.1,27.7,15,0
19,121,27,60,19.2,7,2.7,5.4,49.4,0.5,1.5,30.8,1.2,2,60.7,1.6,2.4,4,0.6,0.7,0.8,0.7,2.1,16.4,0,0
19,122,8,51,27.3,18,7.1,14.8,48.2,1.1,2.9,37,2.7,3.1,85.6,0.6,2.1,2.7,4.3,1.6,0.6,0.2,1.1,28.7,1,0
19,123,24,67,25.8,9.9,3.9,8.1,47.9,0.7,2.1,33.8,1.4,1.8,77.2,0.5,3.2,3.7,3.9,1.4,1,0.7,2.2,23.9,0,0
19,124,7,64,35,26.6,9.2,19.6,46.7,2.1,6.5,32.6,6.1,7.1,86.6,0.6,3.5,4.1,6.8,4.1,0.9,0.2,3.1,40.8,12,0
19,125,30,68,15.7,6.3,1.9,5.1,38,0.9,2.9,31,1.5,2,76.1,0.2,1.5,1.6,1.8,0.8,0.5,0.2,2,12.4,0,0
19,126,4,7,13.5,6.7,2.7,4.6,59.4,0,0.3,0,1.3,2,64.3,0.9,2,2.9,0.9,0.3,0.6,0.9,1.6,15.4,0,0
19,127,1,46,14.7,4.7,1.6,4.7,34.3,0.7,2.6,28.1,0.8,1,76.1,0.2,1.2,1.4,2.6,0.7,0.5,0,1,11.3,0,0
19,128,1,64,25.1,10.8,4,8.2,49.2,1.3,3.4,38.2,1.4,1.8,81.4,1.6,5.9,7.5,1.4,1.3,1.1,1.1,3.3,27.2,11,0
19,129,15,9,13.2,4,1.7,2.4,68.2,0,0.1,0,0.7,1.1,60,1.1,2.9,4,0.6,0.3,0.3,0.6,1.3,12,0,0
19,130,16,18,18.3,7.5,2.7,6.8,40.2,0.8,2.2,37.5,1.2,1.7,73.3,0.5,1.2,1.7,0.9,1.1,0.6,0.2,2.8,12.2,0,0
19,131,7,44,25.9,12,4.5,10.9,41.4,2.5,6.6,37.7,0.5,1,50,0.2,2.5,2.6,2.8,1.5,0.7,0.2,1.6,20.4,0,0
19,132,15,51,15.6,7.3,2.6,7.4,35.9,1.3,4,31.2,0.8,1,78,0.1,3,3.1,0.7,0.4,0.2,0.4,1.5,13.3,1,0
19,133,12,74,24.8,14.1,5.6,9.5,59,0.1,0.2,52.9,2.8,3.9,71.5,2.5,6.8,9.3,2.9,2.2,0.6,0.4,3.2,30.6,30,0
19,134,27,3,4.3,2,1,2,50,0,0,0,0,0.7,0,0.7,0.3,1,0.3,1,0,0.3,2,3.7,0,0
19,135,29,77,33.7,23.8,8.6,19.9,43.2,2.4,6.7,36.2,4.1,5.1,80.6,0.8,3.3,4.1,4.2,2.8,1.4,0.4,2.7,37.5,1,0
19,136,17,27,15.2,4.9,1.9,4.6,40.3,0.8,3.1,26.5,0.3,0.4,75,0.6,1.8,2.4,1.1,0.7,0.5,0.2,1.4,10.9,0,0
19,137,21,3,0.8,0,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,138,7,81,24.5,7.5,2.8,6.5,43.2,1,3.1,31.1,0.9,1.3,70.9,1.7,3.1,4.8,1.2,0.9,0.9,0.4,2.3,18,3,0
19,139,12,77,17.4,7.3,2.7,5.5,49.1,1.1,2.7,40.8,0.9,1,83.5,0.2,1.2,1.4,0.9,0.5,0.2,0.1,1.4,10.8,0,0
19,140,24,46,18,5,1.9,4.3,44.7,0.5,2.2,21.8,0.7,1.2,59.3,0.7,3.2,4,1.2,0.8,0.4,0.5,2,13.4,5,0
19,141,10,66,31.3,7.4,2.8,6.4,44.5,0.7,2.5,28.5,1,1.4,69.2,0.9,6.4,7.3,6.9,2.6,1.4,1.1,3,31.4,8,0
19,142,27,23,4.9,1.8,0.7,1.1,57.7,0,0,0,0.5,0.6,84.6,0.3,1.2,1.5,0.3,0.3,0.1,0.2,0.5,4.6,0,0
19,143,16,15,10.7,3.3,1.2,3.1,39.1,0.7,2.3,28.6,0.3,0.4,66.7,0.1,1.1,1.3,0.3,0.3,0.3,0,0.7,6.1,0,0
19,144,15,2,13,4,1.5,6,25,0,2.5,0,1,1,100,0,0.5,0.5,2.5,0.5,0.5,0,0.5,9.4,0,0
19,145,4,43,17.6,7.3,2.8,6,47.5,0.9,2,43.7,0.8,1.1,73.9,0.2,1.9,2.1,1.1,0.4,0.3,0.1,1.7,12.2,0,0
19,146,30,9,25.5,12.8,4.8,7.7,62.3,0,0,0,3.2,5.3,60.4,2.7,6.6,9.2,0.4,1.8,0.8,0.4,3.8,26.4,3,0
19,147,7,77,21.6,10.6,3.8,6.3,59.7,0.5,1.6,30.7,2.5,3.3,77.2,1.8,3.5,5.3,1.5,0.9,0.6,0.6,2.6,22,6,0
19,148,16,72,26.2,15,5.8,13.3,43.3,1.2,3.6,33,2.3,3.2,70.8,1,3,4,4.2,2.3,0.8,0.5,1.6,27.8,4,1
19,149,3,9,4.4,2.1,1,2.4,40.9,0.1,1.1,10,0,0.2,0,0.1,0.4,0.6,0.2,0.4,0.2,0,0.1,3.3,0,0
19,150,3,53,27.6,11.9,4.8,10,48.1,1.4,3.3,43.2,0.8,1.1,76.3,0.7,1.7,2.4,1.9,1.1,0.8,0.2,2.1,19.3,0,0
19,151,12,81,17.9,5.8,2.3,3.7,61.6,0,0,0,1.2,2,61.7,2.7,5.9,8.6,0.8,0.8,0.4,0.4,2.8,19,6,0
19,152,29,23,9.1,2.9,1,2.8,34.4,0.3,1.2,25.9,0.7,1,62.5,0.4,0.7,1,0.4,0.4,0.5,0.2,1.1,6.6,0,0
19,153,19,51,6.3,2.3,1,1.4,69.4,0,0,0,0.4,0.6,63.3,0.5,1.2,1.8,0.5,0.3,0.2,0.6,0.7,7.4,1,0
19,154,24,42,29.8,10.6,4.3,9.8,43.4,0.8,2.5,31.4,1.3,1.8,74.3,1.2,4.1,5.2,7.6,2.7,1,0.4,1.9,30,10,6
19,155,16,53,18.1,5.7,2.2,5.5,39.3,0.7,2.5,29.5,0.7,0.9,78.7,0.2,1.6,1.8,2.4,1.3,0.6,0.1,2.1,12.5,0,0
19,156,20,3,7.6,3.3,1.3,2.3,57.1,0,0,0,0.7,1.3,50,1,1.3,2.3,0.7,0.7,1,0,1.3,9.5,0,0
19,157,25,59,27.2,14.8,5.6,12.5,44.6,1.2,3.6,32.9,2.4,3.2,77.4,0.6,2.8,3.3,3.9,2.4,0.7,0.3,1.7,25.4,1,0
