SEASON_ID,PLAYER_ID,TEAM_ID,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,
19,271,23,7,7.4,3.6,1.4,4.3,33.3,0.3,1.4,20,0.4,0.6,75,0.3,1,1.3,0.3,0.9,0.1,0,0.3,5.1,0,0,
19,272,10,15,7,2.7,1.1,2.1,54.8,0,0,0,0.5,0.7,70,0.5,0.8,1.3,0.7,0.1,0.3,0.5,0.9,7.4,0,0,
19,277,9,3,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0.3,0,0,3.5,0,0,
19,284,8,5,2.9,0.6,0.2,0.6,33.3,0.2,0.4,50,0,0,0,0,0.6,0.6,0,0.2,0,0,0.4,1.1,0,0,
19,296,28,24,39.1,30.5,10.1,20.7,49,2.3,6,37.9,8,9,88.4,2.3,6.8,9.1,3.9,3.1,1.7,0.7,2.3,51.3,9,0,
19,301,11,6,9.4,4,1.5,2.2,69.2,0.2,0.2,100,0.8,1,83.3,0.5,3,3.5,0.3,0,0.3,0,1,9.7,0,0,
19,305,10,12,36.8,32.3,10.4,20.3,51.4,2.9,6.7,43.8,8.5,9.4,90.3,0.1,4.8,4.9,4.5,3.6,1.1,1,3.2,47.6,0,0,
19,309,10,21,20.5,7.1,3,4.4,68.8,0,0,0,1,1.4,72.4,2,2.5,4.5,1,0.6,0.6,0.5,2.4,16.6,1,0,
19,310,22,5,18.3,5.2,2,3.6,55.6,0,0,0,1.2,1.4,85.7,1.8,4.4,6.2,0.8,1.2,0.2,1,1.6,16.2,0,0,
19,311,17,15,34.3,16.9,5.6,13.4,41.8,2.7,6.1,43.5,3.1,3.5,88.5,0.6,5.7,6.3,4.4,1.9,0.6,0,2.9,31,3,0,
19,312,9,3,5,4.7,2,4,50,0.3,1.3,25,0.3,0.3,100,0,0.7,0.7,0,0,0.7,0,0,7.5,0,0,
19,313,10,21,39,20.7,7.8,17.1,45.6,3.3,7.5,44.3,1.8,2,90.2,0.6,3.5,4.1,2.1,1.8,1.3,0.7,2.8,33.1,0,0,
19,319,29,4,7.4,2.5,0.8,2,37.5,0.5,1.5,33.3,0.5,0.8,66.7,0.3,1,1.3,0,0.3,0,0,1.5,3.8,0,0,
19,321,28,24,37.5,15,5.1,11.5,44,2.2,6,35.9,2.7,3.4,80.2,0.9,4,4.9,6.6,2.3,1.3,0.3,4,33.3,2,0,
19,322,12,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,
19,323,2,9,36.7,21.3,7.7,19.9,38.5,2,6.4,31,4,4.4,90,0.6,3.8,4.3,7,3.1,1.4,0.4,2.9,39.6,3,0,
19,324,27,7,34.9,20,7.9,17.3,45.5,0.4,1.6,27.3,3.9,4.7,81.8,2.7,6.9,9.6,2.7,1,0.7,1,3,39.7,4,0,
19,327,13,6,29,7.7,2.2,6.3,34.2,1.7,5.2,32.3,1.7,1.7,100,0.2,1.8,2,1.7,1.2,1,0,2.5,14.4,0,0,
19,328,9,4,27.5,7.8,2.8,8.5,32.4,2.3,6.3,36,0,0,0,0.5,3.3,3.8,1,0.5,0.5,1,2.5,17.8,0,0,
19,332,27,6,3.5,1,0.5,1.3,37.5,0,0.2,0,0,0,0,0,0.3,0.3,0.5,0,0,0,0,2.2,0,0,
19,335,13,6,29.4,21.7,7.5,17.3,43.3,1,3,33.3,5.7,6.8,82.9,1,1.8,2.8,7.7,3,0.8,0.2,2.3,36.6,2,0,
19,338,9,4,33.2,15,5.8,11.8,48.9,2.3,3.8,60,1.3,1.5,83.3,0,4,4,1.8,0.8,0.8,0.3,1.5,24.7,0,0,
19,342,17,7,28.3,13,5,11.1,44.9,2,5.3,37.8,1,1.6,63.6,0.9,4,4.9,3.4,1.4,0.7,0.1,2.3,25.1,1,0,
19,343,28,10,2.8,0.8,0.2,0.8,25,0.1,0.6,16.7,0.3,0.4,75,0,0.5,0.5,0.1,0.1,0,0.1,0.3,1.8,0,0,
19,344,8,14,20.1,8.1,2.6,6.6,38.7,1.4,3.4,40.4,1.6,2.2,71,0.8,2.6,3.4,1,0.5,0.2,0.1,1.4,14,0,0,
19,346,28,24,30.6,9.4,3.2,7.5,42.2,1.4,3.7,38.2,1.7,1.9,87,0.7,5.8,6.4,3,0.9,0.9,1.1,3.5,26.7,1,0,
19,348,27,7,18.8,5.9,2,5.4,36.8,1.1,3,38.1,0.7,0.9,83.3,0,1.9,1.9,1.1,0.3,0,0.3,1,10.4,0,0,
19,350,2,9,28.3,13.7,4.6,8.8,51.9,2,4.4,45,2.6,3.4,74.2,1.3,6.8,8.1,1.2,0.8,0.1,0.6,2.4,26.5,2,0,
19,351,2,2,16.2,3.5,0.5,5.5,9.1,0.5,5.5,9.1,2,3,66.7,2,0,2,2,1.5,1.5,0,1.5,11.9,0,0,
19,354,21,5,11.8,3.8,1,3.2,31.3,0.4,1.4,28.6,1.4,1.8,77.8,0.8,1.8,2.6,1,0.4,0.2,0.6,1.8,10.4,0,0,
19,359,8,14,15.6,4.6,1.7,3.4,51.1,0,0.1,0,1.1,2,57.1,1.9,2.6,4.4,1.5,0.6,0.5,0.7,2.8,15.2,0,0,
19,361,25,16,24.2,8.4,3.3,6.8,47.7,0.4,1.8,25,1.4,2.3,63.9,1.8,3.1,4.9,1.4,1.1,1.1,1,3.5,21.7,2,0,
19,363,22,3,4.9,1.7,0.7,1.7,40,0,0,0,0.3,0.7,50,0.3,1,1.3,0,0,0.3,0,0,4.3,0,0,
19,364,25,11,15.5,7.7,3.1,5.9,52.3,1.3,3,42.4,0.3,0.8,33.3,0.5,3.1,3.6,1.1,0.4,0.3,0.1,2.5,14.5,1,0,
19,366,22,5,18.5,6.6,2.4,6.2,38.7,0.4,1.6,25,1.4,1.6,87.5,0.4,3.6,4,2.4,1.6,0.6,0,2.4,15.2,0,0,
19,371,23,10,19.3,5.6,2.1,4.7,44.7,1.2,3.4,35.3,0.2,0.2,100,0.4,3,3.4,0.5,0.7,0.3,0,2.2,10.6,0,0,
19,378,8,14,16,5.4,2.4,6.1,38.4,0,0.9,0,0.6,0.9,69.2,0.2,1.1,1.4,2.6,0.4,0.4,0.1,1.1,11.7,0,0,
