PLAYER_ID,PLAYER_NAME,TEAM,AGE,HEIGHT,WEIGHT,DRAFT YEAR,,EXPERIENCE,TEAM_ID ,,,,,,,,,,,,,
121,Derrick White,SAS,24,6'4'',190,2017,2019,2,27,,,,,,,,,,,,,
122,DeVaughn Akoon-Purcell,DEN,26,6'6'',200,Undrafted,2019,0,8,,,,,,,,,,,,,
123,Devin Booker,PHX,22,6'6'',210,2015,2019,4,24,,,,,,,,,,,,,
124,Devin Harris,DAL,36,6'3'',185,2004,2019,15,7,,,,,,,,,,,,,
125,Devin Robinson,WAS,24,6'8'',200,Undrafted,2019,0,30,,,,,,,,,,,,,
126,Devonte' Graham,CHA,24,6'2'',185,2018,2019,1,4,,,,,,,,,,,,,
127,Dewayne Dedmon,ATL,29,7'1'',245,Undrafted,2019,0,1,,,,,,,,,,,,,
128,Deyonta Davis,ATL,22,6'11'',237,2016,2019,3,1,,,,,,,,,,,,,
129,Dillon Brooks,MEM,23,6'6'',220,2017,2019,2,15,,,,,,,,,,,,,
130,Dion Waiters,MIA,27,6'4'',215,2012,2019,7,16,,,,,,,,,,,,,
131,Dirk Nowitzki,DAL,41,7'1'',245,1998,2019,21,7,,,,,,,,,,,,,
132,DJ Stephens,MEM,28,6'5'',188,Undrafted,2019,0,15,,,,,,,,,,,,,
133,Domantas Sabonis,IND,23,6'11'',240,2016,2019,3,12,,,,,,,,,,,,,
134,Donatas Motie6as,SAS,28,7'1'',220,2011,2019,8,27,,,,,,,,,,,,,
135,Donovan Mitchell,UTA,22,6'3'',215,2017,2019,2,29,,,,,,,,,,,,,
136,Donte DiVincenzo,MIL,22,6'4'',203,2018,2019,1,17,,,,,,,,,,,,,
137,Donte Grantham,OKC,24,6'8'',215,Undrafted,2019,0,21,,,,,,,,,,,,,
138,Dorian Finney-Smith,DAL,26,6'8'',220,Undrafted,2019,0,7,,,,,,,,,,,,,
139,Doug McDermott,IND,27,6'8'',225,2014,2019,5,12,,,,,,,,,,,,,
140,Dragan Bender,PHX,21,7'1'',225,2016,2019,3,24,,,,,,,,,,,,,
141,Draymond Green,GSW,29,6'7'',230,2012,2019,7,10,,,,,,,,,,,,,
142,Drew Eubanks,SAS,22,6'10'',245,Undrafted,2019,0,27,,,,,,,,,,,,,
143,Duncan Robinson,MIA,25,6'8'',210,Undrafted,2019,0,16,,,,,,,,,,,,,
144,Dusty Hannahs,MEM,25,6'4'',195,Undrafted,2019,0,15,,,,,,,,,,,,,
145,Dwayne Bacon,CHA,23,6'7'',221,2017,2019,2,4,,,,,,,,,,,,,
146,Dwight Howard,WAS,33,6'11'',265,2004,2019,15,30,,,,,,,,,,,,,
147,Dwight Powell,DAL,27,6'11'',240,2014,2019,5,7,,,,,,,,,,,,,
148,Dwyane Wade,MIA,37,6'4'',220,2003,2019,16,16,,,,,,,,,,,,,
149,Dzanan Musa,BKN,20,6'9'',208,2018,2019,1,3,,,,,,,,,,,,,
150,Ed Davis,BKN,30,6'10'',225,2010,2019,9,3,,,,,,,,,,,,,
151,Edmond Sumner,IND,23,6'6'',176,2017,2019,2,12,,,,,,,,,,,,,
152,Ekpe Udoh,UTA,32,6'10'',245,2010,2019,9,29,,,,,,,,,,,,,
153,Elfrid Payton,NOP,25,6'4'',185,2014,2019,5,19,,,,,,,,,,,,,
154,Elie Okobo,PHX,21,6'3'',190,2018,2019,1,24,,,,,,,,,,,,,
155,Emanuel Terry,MIA,22,6'9'',220,Undrafted,2019,0,16,,,,,,,,,,,,,
156,Emmanuel Mudiay,NYK,23,6'5'',200,2015,2019,4,20,,,,,,,,,,,,,
157,Enes Kanter,POR,27,6'11'',250,2011,2019,8,25,,,,,,,,,,,,,
158,Eric Bledsoe,MIL,29,6'1'',205,2010,2019,9,17,,,,,,,,,,,,,
159,Eric Gordon,HOU,30,6'4'',215,2008,2019,11,11,,,,,,,,,,,,,
160,Eric Moreland,TOR,27,6'10'',238,Undrafted,2019,0,28,,,,,,,,,,,,,
161,Ersan Ilyasova,MIL,32,6'10'',235,2005,2019,14,17,,,,,,,,,,,,,
162,E'Twaun Moore,NOP,30,6'4'',191,2011,2019,8,19,,,,,,,,,,,,,
163,Evan Fournier,ORL,26,6'7'',205,2012,2019,7,22,,,,,,,,,,,,,
164,Evan Turner,POR,30,6'7'',220,2010,2019,9,25,,,,,,,,,,,,,
165,Frank Jackson,NOP,21,6'3'',205,2017,2019,2,19,,,,,,,,,,,,,
166,Frank Kaminsky,CHA,26,7'1'',242,2015,2019,4,4,,,,,,,,,,,,,
167,Frank Mason,SAC,25,5'11'',190,2017,2019,2,26,,,,,,,,,,,,,
168,Frank Ntilikina,NYK,20,6'6'',200,2017,2019,2,20,,,,,,,,,,,,,
169,Fred VanVleet,TOR,25,6'1'',195,Undrafted,2019,0,28,,,,,,,,,,,,,
170,Furkan Korkmaz,PHI,21,6'7'',190,2016,2019,3,23,,,,,,,,,,,,,
171,Garrett Temple,LAC,33,6'6'',195,Undrafted,2019,0,13,,,,,,,,,,,,,
172,Gary Clark,HOU,24,6'8'',225,Undrafted,2019,0,11,,,,,,,,,,,,,
173,Gary Harris,DEN,24,6'4'',210,2014,2019,5,8,,,,,,,,,,,,,
174,Gary Payton II,WAS,26,6'3'',190,Undrafted,2019,0,30,,,,,,,,,,,,,
175,Gary Trent Jr.,POR,20,6'6'',205,Undrafted,2019,0,25,,,,,,,,,,,,,
176,George Hill,MIL,33,6'3'',188,2008,2019,11,17,,,,,,,,,,,,,
177,George King,PHX,25,6'6'',220,2018,2019,1,24,,,,,,,,,,,,,
178,Georges Niang,UTA,26,6'8'',230,2016,2019,3,29,,,,,,,,,,,,,
179,Gerald Green,HOU,33,6'7'',205,2005,2019,14,11,,,,,,,,,,,,,
180,Giannis Antetokounmpo,MIL,24,6'11'',242,2013,2019,6,17,,,,,,,,,,,,,
181,Glenn Robinson III,DET,25,6'6'',222,2014,2019,5,9,,,,,,,,,,,,,
182,Goran Dragic,MIA,33,6'3'',190,2008,2019,11,16,,,,,,,,,,,,,
183,Gordon Hayward,BOS,29,6'8'',225,2010,2019,9,2,,,,,,,,,,,,,
184,Gorgui Dieng,MIN,29,6'11'',252,2013,2019,6,18,,,,,,,,,,,,,
